,COL
2003-09-10,4666475000
2003-09-11,4563525000
2003-09-12,4487200000
2003-09-15,4467675000
2003-09-16,4488975000
2003-09-17,4492525000
2003-09-18,4666475000
2003-09-19,4701975000
2003-09-22,4602575000
2003-09-23,4572400000
2003-09-24,4457025000
2003-09-25,4446375000
2003-09-26,4417975000
2003-09-29,4488975000
2003-09-30,4481875000
2003-10-01,4520925000
2003-10-02,4535125000
2003-10-03,4559975000
2003-10-06,4572400000
2003-10-07,4581275000
2003-10-08,4579500000
2003-10-09,4593700000
2003-10-10,4632750000
2003-10-13,4696650000
2003-10-14,4728600000
2003-10-15,4728600000
2003-10-16,4753450000
2003-10-17,4689550000
2003-10-20,4803150000
2003-10-21,4769425000
2003-10-22,4710850000
2003-10-23,4758775000
2003-10-24,4753450000
2003-10-27,4753450000
2003-10-28,4820900000
2003-10-29,4852850000
2003-10-30,4824450000
2003-10-31,4872375000
2003-11-03,4913200000
2003-11-04,4909650000
2003-11-05,4945150000
2003-11-06,4964675000
2003-11-07,4973550000
2003-11-10,4902550000
2003-11-11,4774750000
2003-11-12,4757000000
2003-11-13,4765875000
2003-11-14,4675350000
2003-11-17,4684225000
2003-11-18,4712625000
2003-11-19,4749900000
2003-11-20,4730375000
2003-11-21,4771200000
2003-11-24,4813800000
2003-11-25,4828000000
2003-11-26,4769425000
2003-11-28,4772975000
2003-12-01,4829775000
2003-12-02,4829775000
2003-12-03,4760550000
2003-12-04,4810250000
2003-12-05,4764100000
2003-12-08,4861725000
2003-12-09,4833325000
2003-12-10,4772975000
2003-12-11,4799600000
2003-12-12,4801375000
2003-12-15,5044550000
2003-12-16,5096025000
2003-12-17,5191875000
2003-12-18,5193650000
2003-12-19,5193650000
2003-12-22,5175900000
2003-12-23,5218500000
2003-12-24,5218500000
2003-12-26,5209625000
2003-12-29,5271750000
2003-12-30,5271750000
2003-12-31,5360355000
2004-01-02,5240760000
2004-01-05,5310375000
2004-01-06,5290740000
2004-01-07,5317515000
2004-01-08,5381775000
2004-01-09,5313945000
2004-01-12,5299665000
2004-01-13,5349645000
2004-01-14,5776260000
2004-01-15,5840520000
2004-01-16,5890500000
2004-01-20,5785184999
2004-01-21,5792325000
2004-01-22,5763765000
2004-01-23,5717355000
2004-01-26,5736990000
2004-01-27,5897640000
2004-01-28,5879790000
2004-01-29,5995815000
2004-01-30,5835165000
2004-02-02,5965470000
2004-02-03,5976179999
2004-02-04,5829809999
2004-02-05,5769120000
2004-02-06,5765549999
2004-02-09,5783400000
2004-02-10,5874434999
2004-02-11,5992245000
2004-02-12,5886929999
2004-02-13,5874434999
2004-02-17,5917275000
2004-02-18,5854799999
2004-02-19,5833380000
2004-02-20,5712000000
2004-02-23,5597760000
2004-02-24,5588835000
2004-02-25,5688795000
2004-02-26,5604900000
2004-02-27,5808390000
2004-03-01,5769120000
2004-03-02,5699505000
2004-03-03,5731635000
2004-03-04,5701290000
2004-03-05,5778045000
2004-03-08,5683440000
2004-03-09,5483520000
2004-03-10,5381775000
2004-03-11,5347860000
2004-03-12,5510295000
2004-03-15,5421045000
2004-03-16,5335365000
2004-03-17,5446035000
2004-03-18,5397840000
2004-03-19,5424615000
2004-03-22,5378205000
2004-03-23,5413905000
2004-03-24,5355000000
2004-03-25,5501370000
2004-03-26,5538855000
2004-03-29,5576340000
2004-03-30,5642385000
2004-03-31,5588648000
2004-04-01,5638152000
2004-04-02,5721248000
2004-04-05,5749536000
2004-04-06,5715944000
2004-04-07,5765448000
2004-04-08,5700032000
2004-04-12,5822024000
2004-04-13,5744232000
2004-04-14,5754839999
2004-04-15,5774287999
2004-04-16,5814952000
2004-04-19,5777824000
2004-04-20,5622240000
2004-04-21,5625776000
2004-04-22,5799039999
2004-04-23,5768984000
2004-04-26,5827328000
2004-04-27,5938712000
2004-04-28,5882136000
2004-04-29,5719480000
