,TEL
2007-06-14,19308450000
2007-06-15,19283600000
2007-06-18,18463550000
2007-06-19,18239900000
2007-06-20,17867150000
2007-06-21,18239900000
2007-06-22,19358150000
2007-06-25,19507250000
2007-06-26,19631500000
2007-06-27,19755750000
2007-06-28,19681200000
2007-06-29,19373760000
2007-07-02,19825120000
2007-07-03,19671360000
2007-07-05,19567200000
2007-07-06,19750720000
2007-07-09,19988800000
2007-07-10,19344000000
2007-07-11,19373760000
2007-07-12,19348960000
2007-07-13,19577120000
2007-07-16,19492800000
2007-07-17,19274560000
2007-07-18,18818240000
2007-07-19,18897600000
2007-07-20,18862880000
2007-07-23,19299360000
2007-07-24,19046400000
2007-07-25,19081120000
2007-07-26,18629760000
2007-07-27,18327200000
2007-07-30,17880800000
2007-07-31,17766720000
2007-08-01,17469120000
2007-08-02,17493920000
2007-08-03,17404640000
2007-08-06,17434400000
2007-08-07,17285600000
2007-08-08,17231040000
2007-08-09,16730079999
2007-08-10,16273760000
2007-08-13,16363040000
2007-08-14,16095200000
2007-08-15,16348160000
2007-08-16,16387840000
2007-08-17,17409600000
2007-08-20,17335200000
2007-08-21,17196320000
2007-08-22,17290560000
2007-08-23,17538560000
2007-08-24,17989920000
2007-08-27,17593120000
2007-08-28,17419520000
2007-08-29,17538560000
2007-08-30,17340160000
2007-08-31,17295520000
2007-09-04,17315360000
2007-09-05,17206240000
2007-09-06,17474080000
2007-09-07,16616000000
2007-09-10,16467200000
2007-09-11,16387840000
2007-09-12,16149760000
2007-09-13,16313440000
2007-09-14,16397760000
2007-09-17,16437440000
2007-09-18,16660640000
2007-09-19,16402720000
2007-09-20,16596160000
2007-09-21,16591200000
2007-09-24,16561440000
2007-09-25,16749920000
2007-09-26,17131840000
2007-09-27,17449280000
2007-09-28,17573280000
2007-10-01,17994880000
2007-10-02,17831200000
2007-10-03,17687360000
2007-10-04,17806400000
2007-10-05,17880800000
2007-10-08,18411520000
2007-10-09,18218080000
2007-10-10,18272640000
2007-10-11,18178400000
2007-10-12,18352000000
2007-10-15,18337120000
2007-10-16,18347040000
2007-10-17,18302400000
2007-10-18,18292480000
2007-10-19,17975040000
2007-10-22,17697280000
2007-10-23,17419520000
2007-10-24,17141760000
2007-10-25,16883840000
2007-10-26,16715200000
